Page,URL,Language,Currently Reading,Want to Read
6,https://www.goodreads.com/book/show/26839372-the-sandman,Not Found,6,383
6,https://www.goodreads.com/book/show/17411966-the-sandman-29,Not Found,8,223
6,https://www.goodreads.com/book/show/51983357-batman-black-white,Not Found,146,314
6,https://www.goodreads.com/book/show/17411969-the-sandman-30,Not Found,7,193
6,https://www.goodreads.com/book/show/92059.Spawn,English,1,615
6,https://www.goodreads.com/book/show/18897234-the-sandman-23,Not Found,6,170
6,https://www.goodreads.com/book/show/6602276-the-sandman,Not Found,3,806
7,https://www.goodreads.com/book/show/18956270-death,Not Found,9,426
7,https://www.goodreads.com/book/show/19268899-the-sandman-50,Not Found,6,209
7,https://www.goodreads.com/book/show/6698557-sunbird,Not Found,4,622
7,https://www.goodreads.com/book/show/18897236-the-sandman-21,Not Found,4,160
7,https://www.goodreads.com/book/show/8161898-sandman-absolute-1,Spanish; Castilian,20,227
7,https://www.goodreads.com/book/show/18897235-the-sandman-22,Not Found,2,171
7,https://www.goodreads.com/book/show/58725910-the-sandman,English,46,444
7,https://www.goodreads.com/book/show/19457369-the-sandman-25,Not Found,6,177
7,https://www.goodreads.com/book/show/34761133-american-gods,Not Found,62,442
7,https://www.goodreads.com/book/show/19088857-the-sandman-24,Not Found,6,161
7,https://www.goodreads.com/book/show/17669274-down-to-a-sunless-sea,Not Found,677,Not Found
7,https://www.goodreads.com/book/show/10907592-the-year-s-best-dark-fantasy-horror-2011-edition,English,75,750
7,https://www.goodreads.com/book/show/19495472-the-sandman-26,Not Found,4,155
7,https://www.goodreads.com/book/show/19496186-the-sandman-27,Not Found,1,164
7,https://www.goodreads.com/book/show/43159385-norse-mythology,Not Found,2,255
7,https://www.goodreads.com/book/show/19496339-the-sandman-28,Not Found,1,157
7,https://www.goodreads.com/book/show/17340528-the-price,Not Found,314,Not Found
7,https://www.goodreads.com/book/show/13536523-the-annotated-sandman-vol-2,English,16,758
7,https://www.goodreads.com/book/show/9720317-sandman-absolute-2,Spanish; Castilian,11,121
7,https://www.goodreads.com/book/show/61487971-norse-mythology-vol-3,English,12,190
7,https://www.goodreads.com/book/show/47721.Now_We_Are_Sick,English,5,960
7,https://www.goodreads.com/book/show/23692598-october-in-the-chair,Not Found,4,339
7,https://www.goodreads.com/book/show/9711963-coisas-fr-geis-2,Portuguese,6,215
7,https://www.goodreads.com/book/show/13357895-bitter-grounds,Not Found,3,413
7,https://www.goodreads.com/book/show/13563554-the-case-of-the-four-and-twenty-blackbirds,Not Found,1,481
7,https://www.goodreads.com/book/show/48820873-the-american-gods-quartet,English,122,521
7,https://www.goodreads.com/book/show/13392178-the-day-the-saucers-came,Not Found,1,315
7,https://www.goodreads.com/book/show/29752905-neil-gaiman-s-how-the-marquis-got-his-coat-back,English,2,135
7,https://www.goodreads.com/book/show/597644.Adventures_in_the_Dream_Trade,English,16,"1,037"
7,https://www.goodreads.com/book/show/104603.Warning,Not Found,3,466
8,https://www.goodreads.com/book/show/28514417-the-return-of-the-thin-white-duke,Not Found,531,Not Found
8,https://www.goodreads.com/book/show/28271809-sandman,Spanish; Castilian,7,100
8,https://www.goodreads.com/book/show/13119649-a-little-gold-book-of-ghastly-stuff,Not Found,16,873
8,https://www.goodreads.com/book/show/9761169-sandman-absolute-3,Spanish; Castilian,2,120
8,https://www.goodreads.com/book/show/51996742-sandman-box-set,English,24,399
8,https://www.goodreads.com/book/show/20235117-the-sandman-38,Not Found,4,149
8,https://www.goodreads.com/book/show/19522519-the-sandman-32,Not Found,4,143
8,https://www.goodreads.com/book/show/19750957-the-sandman-34,Not Found,1,135
8,https://www.goodreads.com/book/show/92060.A_Walking_Tour_of_the_Shambles,Not Found,765,Not Found
8,https://www.goodreads.com/book/show/21523211-the-sandman-33,Not Found,2,145
