URL,Title,Author,Average Rating
https://www.goodreads.com/book/show/52831200-from-blood-and-ash?from_search=true&from_srp=true&qid=pYMdisJEx7&rank=1,From Blood and Ash,Jennifer L. Armentrout,4.22
https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire?from_search=true&from_srp=true&qid=1R6a84xEcA&rank=1,The Girl Who Played with Fire,Stieg Larsson,4.25
https://www.goodreads.com/book/show/46015758-if-it-bleeds?from_search=true&from_srp=true&qid=9A0P1uMJtz&rank=1,If It Bleeds,Stephen King,3.98
https://www.goodreads.com/book/show/49239093-the-evening-and-the-morning?from_search=true&from_srp=true&qid=WnHlFQLXOs&rank=1,The Evening and the Morning,Ken Follett,4.39
https://www.goodreads.com/book/show/50253429-rodham?from_search=true&from_srp=true&qid=nI5PWtAdj0&rank=1,Rodham,Curtis Sittenfeld,3.83
https://www.goodreads.com/book/show/8171378-the-warmth-of-other-suns?from_search=true&from_srp=true&qid=J5mKN3wC0w&rank=1,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.47
https://www.goodreads.com/book/show/43721059-the-night-watchman?from_search=true&from_srp=true&qid=r6OSaBBm91&rank=1,The Night Watchman,Louise Erdrich,4.10
https://www.goodreads.com/book/show/50607466-the-henna-artist?from_search=true&from_srp=true&qid=iNuT8Cd7e9&rank=1,The Henna Artist,Alka Joshi,4.18
https://www.goodreads.com/book/show/45872054-the-kingdom-of-back?from_search=true&from_srp=true&qid=Nr3FoondZQ&rank=1,The Kingdom of Back,Marie Lu,3.71
https://www.goodreads.com/book/show/46000520-the-thursday-murder-club?from_search=true&from_srp=true&qid=2RwrLWrdvj&rank=1,The Thursday Murder Club,Richard Osman,3.88
https://www.goodreads.com/book/show/52225186-eight-perfect-murders?from_search=true&from_srp=true&qid=gCYYzg7Nz0&rank=1,Eight Perfect Murders,Peter Swanson,3.63
https://www.goodreads.com/book/show/54114950-too-much-and-never-enough?from_search=true&from_srp=true&qid=YzzfmUbyXT&rank=1,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,3.82
https://www.goodreads.com/book/show/43449920-heartstopper?from_search=true&from_srp=true&qid=zLiCOpO96q&rank=1,Heartstopper: Volume Three,Alice Oseman,4.56
https://www.goodreads.com/book/show/50027029-you-deserve-each-other?from_search=true&from_srp=true&qid=njTLH3F2Xp&rank=1,You Deserve Each Other,Sarah Hogle,3.90
https://www.goodreads.com/book/show/50900667-dear-ava?from_search=true&from_srp=true&qid=z60LxzdikA&rank=1,Dear Ava,Ilsa Madden-Mills,4.11
https://www.goodreads.com/book/show/49976087-take-a-hint-dani-brown?from_search=true&from_srp=true&qid=cRmg1rVeHk&rank=1,"Take a Hint, Dani Brown",Talia Hibbert,4.01
https://www.goodreads.com/book/show/44084930-a-good-neighborhood?from_search=true&from_srp=true&qid=x1D9arhLTe&rank=1,A Good Neighborhood,Therese Anne Fowler,3.81
https://www.goodreads.com/book/show/40969531-a-winter-s-promise?from_search=true&from_srp=true&qid=DlAhdHtzB4&rank=1,A Winter's Promise,Christelle Dabos,4.02
https://www.goodreads.com/book/show/49631287-the-mountains-sing?from_search=true&from_srp=true&qid=fEX5EW3sJI&rank=1,The Mountains Sing,Nguyễn Phan Quế Mai,4.32
https://www.goodreads.com/book/show/52439531-the-inheritance-games?from_search=true&from_srp=true&qid=ddpOIeINIP&rank=1,The Inheritance Games,Jennifer Lynn Barnes,4.15
https://www.goodreads.com/book/show/48642680-hate?from_search=true&from_srp=true&qid=Hy1EVMDFqU&rank=1,Hate,Tate James,4.20
https://www.goodreads.com/book/show/52655000-undercover-bromance?from_search=true&from_srp=true&qid=F07CKTZz4s&rank=1,Undercover Bromance,Lyssa Kay Adams,3.87
https://www.goodreads.com/book/show/54308167-fake?from_search=true&from_srp=true&qid=K8eeqj7xog&rank=1,Fake,Tate James,4.36
https://www.goodreads.com/book/show/49367862-fake-it-til-you-break-it?from_search=true&from_srp=true&qid=Gg0I0aJHec&rank=1,Fake It 'Til You Break It,Meagan Brandy,4.10
https://www.goodreads.com/book/show/53103895-one-to-watch?from_search=true&from_srp=true&qid=2WwCaKtD3Z&rank=1,One to Watch,Kate Stayman-London,3.88
https://www.goodreads.com/book/show/125622325-don-t-close-your-eyes?from_search=true&from_srp=true&qid=j4QVjywNJx&rank=1,Don't Close Your Eyes,P.S. Cunliffe,4.00
